iter	Passed	Remaining
0	265	66179
1	440	54574
2	649	53471
3	990	60918
4	1250	61298
5	1460	59389
6	1654	57417
7	1854	56094
8	2033	54439
9	2214	53159
10	2403	52218
11	2580	51186
12	2769	50481
13	2972	50103
14	3155	49432
15	3325	48633
16	3497	47933
17	3667	47274
18	3838	46664
19	4034	46392
20	4212	45939
21	4393	45528
22	4583	45239
23	4750	44732
24	4924	44320
25	5125	44156
26	5293	43721
27	5465	43335
28	5651	43065
29	5856	42944
30	6030	42605
31	6231	42454
32	6484	42642
33	6695	42536
34	6922	42522
35	7097	42191
36	7281	41915
37	7483	41750
38	7667	41482
39	7850	41213
40	8030	40935
41	8219	40703
42	8397	40424
43	8592	40228
44	8774	39972
45	8953	39709
46	9127	39421
47	9300	39141
48	9480	38888
49	9673	38695
50	9938	38780
51	10135	38591
52	10317	38348
53	10495	38095
54	10683	37878
55	10911	37799
56	11091	37556
57	11274	37322
58	11452	37076
59	11632	36836
60	11839	36682
61	12029	36475
62	12204	36224
63	12382	35985
64	12555	35735
65	12727	35481
66	12915	35276
67	13110	35091
68	13294	34873
69	13486	34680
70	13667	34456
71	13849	34239
72	14036	34034
73	14240	33869
74	14415	33636
75	14590	33403
76	14769	33183
77	14948	32962
78	15122	32733
79	15332	32581
80	15507	32355
81	15684	32133
82	15862	31916
83	16128	31872
84	16388	31813
85	16589	31635
86	16765	31410
87	16939	31183
88	17126	30980
89	17315	30783
90	17503	30583
91	17785	30544
92	17967	30331
93	18156	30132
94	18341	29926
95	18517	29705
96	18723	29533
97	18910	29331
98	19083	29107
99	19267	28900
100	19454	28700
101	19636	28492
102	19842	28318
103	20020	28105
104	20210	27909
105	20384	27692
106	20575	27498
107	20768	27306
108	20974	27131
109	21192	26972
110	21491	26913
111	21729	26774
112	21933	26592
113	22174	26453
114	22384	26277
115	22699	26221
116	22915	26049
117	23092	25832
118	23305	25656
119	23502	25460
120	23708	25275
121	23888	25063
122	24107	24891
123	24288	24679
124	24503	24503
125	24730	24337
126	24896	24112
127	25084	23908
128	25283	23715
129	25468	23509
130	25655	23305
131	25850	23108
132	26048	22915
133	26267	22738
134	26440	22523
135	26646	22335
136	26827	22127
137	27017	21927
138	27190	21713
139	27367	21503
140	27561	21306
141	27753	21108
142	27947	20911
143	28131	20707
144	28326	20512
145	28500	20301
146	28679	20095
147	28876	19901
148	29057	19696
149	29234	19489
150	29415	19285
151	29585	19074
152	29758	18866
153	29953	18672
154	30149	18478
155	30340	18282
156	30531	18085
157	30734	17896
158	30908	17689
159	31102	17494
160	31294	17299
161	31520	17122
162	31721	16930
163	31913	16734
164	32096	16534
165	32293	16341
166	32493	16149
167	32673	15947
168	32862	15750
169	33052	15553
170	33243	15357
171	33517	15199
172	33769	15030
173	33948	14828
174	34113	14620
175	34291	14418
176	34591	14266
177	34824	14086
178	35015	13888
179	35200	13689
180	35386	13489
181	35555	13284
182	35750	13089
183	35943	12892
184	36138	12697
185	36330	12500
186	36532	12307
187	36700	12103
188	36897	11908
189	37080	11709
190	37263	11510
191	37497	11327
192	37723	11141
193	37916	10944
194	38088	10742
195	38259	10540
196	38463	10347
197	38655	10152
198	38849	9956
199	39040	9760
200	39213	9559
201	39416	9366
202	39627	9174
203	39836	8982
204	40031	8787
205	40274	8602
206	40516	8416
207	40720	8222
208	40943	8031
209	41130	7834
210	41342	7641
211	41567	7450
212	41905	7279
213	42113	7084
214	42327	6890
215	42510	6691
216	42694	6492
217	42878	6294
218	43073	6097
219	43275	5901
220	43486	5706
221	43687	5510
222	43911	5316
223	44130	5122
224	44339	4926
225	44599	4736
226	44807	4540
227	45026	4344
228	45230	4147
229	45446	3951
230	45665	3756
231	45858	3558
232	46032	3358
233	46217	3160
234	46401	2961
235	46571	2762
236	46759	2564
237	46990	2369
238	47209	2172
239	47431	1976
240	47613	1778
241	47789	1579
242	47985	1382
243	48157	1184
244	48349	986
245	48542	789
246	48709	591
247	48905	394
248	49137	197
249	49341	0
