Thời_gian,Nhiệt_độ_C,Độ_ẩm_%,Lượng_mưa_mm,Độ_ẩm_đất,Chiều_cao_triều_m,Nguy_cơ_ngập
2016-07-04 17:00:00,27.3305,82.46773,0.0,0.421,0.38,0
2016-07-04 18:00:00,26.780499,87.502884,0.0,0.421,0.38,0
2016-07-04 19:00:00,26.8305,86.46593,0.0,0.421,0.38,0
2016-07-04 20:00:00,26.6805,86.711426,0.0,0.421,0.38,0
2016-07-04 21:00:00,26.4805,87.73937,0.0,0.421,0.38,0
2016-07-04 22:00:00,26.380499,88.52338,0.0,0.421,0.38,0
2016-07-04 23:00:00,26.630499,85.67238,0.0,0.422,0.38,0
2016-07-05 00:00:00,27.0805,82.19052,0.5,0.424,0.38,0
2016-07-05 01:00:00,27.130499,76.680405,0.3,0.425,0.38,0
2016-07-05 02:00:00,27.1805,78.330956,0.1,0.426,0.38,0
2016-07-05 03:00:00,27.5805,76.74864,0.5,0.433,0.38,0
2016-07-05 04:00:00,27.530499,78.38083,0.4,0.437,0.38,0
2016-07-05 05:00:00,27.530499,80.2923,1.0,0.443,0.38,0
2016-07-05 06:00:00,27.6805,80.79572,0.9,0.449,0.38,0
2016-07-05 07:00:00,26.630499,90.68403,3.5,0.501,0.38,0
2016-07-05 08:00:00,26.630499,90.95476,3.7,0.519,0.38,0
2016-07-05 09:00:00,26.530499,91.76534,4.0,0.486,0.38,0
2016-07-05 10:00:00,26.280499,92.85185,6.4,0.503,0.38,0
2016-07-05 11:00:00,25.9805,93.951515,5.3,0.504,0.38,0
2016-07-05 12:00:00,25.780499,94.78795,5.8,0.483,0.38,0
2016-07-05 13:00:00,25.6805,94.21958,4.8,0.52,0.38,0
2016-07-05 14:00:00,25.530499,93.651085,3.4,0.482,0.38,0
2016-07-05 15:00:00,25.4305,93.08681,2.2,0.432,0.38,0
2016-07-05 16:00:00,25.280499,93.07935,1.3,0.453,0.38,0
2016-07-05 17:00:00,25.0805,93.6304,1.0,0.466,0.38,0
2016-07-05 18:00:00,24.9305,93.6235,1.0,0.479,0.38,0
2016-07-05 19:00:00,25.130499,94.47953,0.7,0.492,0.38,0
2016-07-05 20:00:00,25.0805,93.91202,0.9,0.505,0.38,0
2016-07-05 21:00:00,24.9305,93.90542,2.3,0.52,0.38,0
2016-07-05 22:00:00,24.880499,93.62118,2.4,0.467,0.38,0
2016-07-05 23:00:00,24.6805,93.33025,2.3,0.456,0.38,0
2016-07-06 00:00:00,24.9805,90.028885,1.8,0.483,0.38,0
2016-07-06 01:00:00,25.3305,90.8708,1.1,0.476,0.38,0
2016-07-06 02:00:00,25.880499,87.95227,0.7,0.465,0.38,0
2016-07-06 03:00:00,26.380499,86.42373,0.3,0.468,0.38,0
2016-07-06 04:00:00,27.5805,77.91644,0.2,0.468,0.38,0
2016-07-06 05:00:00,28.2305,75.47053,0.1,0.467,0.38,0
