Thời_gian,Nhiệt_độ_C,Độ_ẩm_%,Lượng_mưa_mm,Độ_ẩm_đất,Chiều_cao_triều_m,Nguy_cơ_ngập
2016-07-04 17:00:00,27.139,87.27317,0.0,0.435,0.54,0
2016-07-04 18:00:00,27.239,83.95476,0.0,0.435,0.54,0
2016-07-04 19:00:00,27.189,79.284744,0.0,0.435,0.54,0
2016-07-04 20:00:00,26.989,79.49728,0.0,0.435,0.54,0
2016-07-04 21:00:00,27.239,77.39704,0.0,0.435,0.54,0
2016-07-04 22:00:00,28.439,66.876595,0.0,0.436,0.54,0
2016-07-04 23:00:00,26.789,84.41141,0.0,0.437,0.54,0
2016-07-05 00:00:00,27.689,80.796814,0.1,0.438,0.54,0
2016-07-05 01:00:00,27.838999,77.25234,0.2,0.439,0.54,0
2016-07-05 02:00:00,27.539,81.02063,0.4,0.442,0.54,0
2016-07-05 03:00:00,27.789,79.605705,0.5,0.448,0.54,0
2016-07-05 04:00:00,27.489,82.23949,0.8,0.458,0.54,0
2016-07-05 05:00:00,26.889,85.69789,1.4,0.478,0.54,0
2016-07-05 06:00:00,27.239,84.96649,1.3,0.499,0.54,0
2016-07-05 07:00:00,26.588999,89.07122,8.4,0.52,0.54,0
2016-07-05 08:00:00,26.689,86.71224,7.0,0.482,0.54,0
2016-07-05 09:00:00,26.489,90.67469,7.1,0.52,0.54,0
2016-07-05 10:00:00,26.338999,90.93605,9.3,0.517,0.54,0
2016-07-05 11:00:00,26.039,93.67431,10.5,0.516,0.54,0
2016-07-05 12:00:00,25.939,92.28099,10.1,0.519,0.54,0
2016-07-05 13:00:00,25.939,92.28099,7.5,0.502,0.54,0
2016-07-05 14:00:00,25.889,91.727585,5.2,0.505,0.54,0
2016-07-05 15:00:00,25.838999,91.45029,3.5,0.48,0.54,0
2016-07-05 16:00:00,25.739,91.17039,2.3,0.452,0.54,0
2016-07-05 17:00:00,25.588999,91.70985,1.5,0.455,0.54,0
2016-07-05 18:00:00,25.489,91.70392,0.7,0.453,0.54,0
2016-07-05 19:00:00,25.639,90.34645,1.8,0.477,0.54,0
2016-07-05 20:00:00,25.539,89.79769,3.2,0.508,0.54,0
2016-07-05 21:00:00,25.439,88.71451,6.1,0.496,0.54,0
2016-07-05 22:00:00,25.289,88.70258,8.0,0.476,0.54,0
2016-07-05 23:00:00,25.139,89.22828,7.3,0.513,0.54,0
2016-07-06 00:00:00,24.939,91.671196,6.0,0.489,0.54,0
2016-07-06 01:00:00,25.489,89.52413,6.0,0.46,0.54,0
2016-07-06 02:00:00,25.789,88.20973,4.5,0.492,0.54,0
2016-07-06 03:00:00,26.088999,87.70585,2.3,0.515,0.54,0
2016-07-06 04:00:00,26.989,84.686386,0.8,0.453,0.54,0
2016-07-06 05:00:00,27.539,81.7536,0.3,0.449,0.54,0
2016-07-06 06:00:00,28.489,78.047485,0.2,0.451,0.54,0
2016-07-06 07:00:00,29.389,77.0201,0.7,0.455,0.54,0
2016-07-06 08:00:00,28.489,81.14061,6.7,0.511,0.54,0
2016-07-06 09:00:00,28.338999,80.15794,1.5,0.451,0.54,0
2016-07-06 10:00:00,28.189,81.34559,0.0,0.444,0.54,0
2016-07-06 11:00:00,27.739,82.515976,0.3,0.45,0.54,0
2016-07-06 12:00:00,27.289,85.226135,0.0,0.452,0.54,0
2016-07-06 13:00:00,26.989,87.520996,0.0,0.454,0.54,0
2016-07-06 14:00:00,26.639,90.684616,0.0,0.456,0.54,0
2016-07-06 15:00:00,26.439,91.759995,0.0,0.458,0.54,0
2016-07-06 16:00:00,25.838999,94.22621,0.0,0.459,0.54,0
2016-07-06 17:00:00,25.439,94.77502,0.0,0.46,0.54,0
2016-07-06 18:00:00,25.239,95.336716,0.0,0.461,0.54,0
2016-07-06 19:00:00,24.989,95.61448,0.0,0.462,0.54,0
2016-07-06 20:00:00,24.889,95.61129,0.0,0.463,0.54,0
2016-07-06 21:00:00,24.939,95.040855,0.0,0.463,0.54,0
2016-07-06 22:00:00,24.789,95.32138,0.0,0.464,0.54,0
2016-07-06 23:00:00,24.789,95.32138,0.0,0.464,0.54,0
2016-07-07 00:00:00,26.639,87.49058,0.0,0.465,0.54,0
2016-07-07 01:00:00,27.588999,82.00528,0.0,0.465,0.54,0
2016-07-07 02:00:00,28.539,79.231544,0.0,0.464,0.54,0
2016-07-07 03:00:00,29.139,78.37389,0.0,0.463,0.54,0
2016-07-07 04:00:00,29.789,78.001144,0.1,0.461,0.54,0
2016-07-07 05:00:00,30.088999,75.76167,1.2,0.466,0.54,0
2016-07-07 06:00:00,29.139,79.077614,4.2,0.501,0.54,0
2016-07-07 07:00:00,28.939,79.28621,2.3,0.505,0.54,0
2016-07-07 08:00:00,29.088999,79.30662,0.3,0.497,0.54,0
2016-07-07 09:00:00,28.439,80.17108,5.2,0.517,0.54,0
2016-07-07 10:00:00,27.739,83.508865,3.3,0.477,0.54,0
2016-07-07 11:00:00,26.939,88.83274,2.1,0.432,0.54,0
2016-07-07 12:00:00,26.439,90.67141,1.3,0.447,0.54,0
2016-07-07 13:00:00,26.189,89.307785,0.2,0.448,0.54,0
2016-07-07 14:00:00,25.989,90.64156,0.7,0.455,0.54,0
2016-07-07 15:00:00,25.838999,91.45029,0.2,0.457,0.54,0
2016-07-07 16:00:00,25.838999,91.72464,0.0,0.458,0.54,0
2016-07-07 17:00:00,25.789,92.82659,0.0,0.458,0.54,0
2016-07-07 18:00:00,25.539,93.93219,0.0,0.458,0.54,0
2016-07-07 19:00:00,25.689,92.26714,0.0,0.458,0.54,0
2016-07-07 20:00:00,25.539,93.0922,0.0,0.458,0.54,0
2016-07-07 21:00:00,25.338999,93.92344,0.0,0.458,0.54,0
2016-07-07 22:00:00,25.239,93.91901,0.0,0.458,0.54,0
2016-07-07 23:00:00,25.239,94.201065,0.0,0.458,0.54,0
2016-07-08 00:00:00,26.989,87.520996,0.0,0.458,0.54,0
2016-07-08 01:00:00,28.289,79.9119,0.0,0.458,0.54,0
2016-07-08 02:00:00,29.338999,75.19357,0.0,0.457,0.54,0
2016-07-08 03:00:00,30.139,71.80906,0.0,0.456,0.54,0
2016-07-08 04:00:00,30.838999,71.07978,0.0,0.453,0.54,0
2016-07-08 05:00:00,31.439,68.89573,0.0,0.45,0.54,0
2016-07-08 06:00:00,31.439,70.76548,0.2,0.448,0.54,0
2016-07-08 07:00:00,30.139,74.65063,2.6,0.467,0.54,0
2016-07-08 08:00:00,30.189,74.215355,0.7,0.471,0.54,0
2016-07-08 09:00:00,30.439,74.69895,0.0,0.47,0.54,0
2016-07-08 10:00:00,30.189,76.22874,0.0,0.468,0.54,0
2016-07-08 11:00:00,29.838999,79.40836,0.0,0.467,0.54,0
2016-07-08 12:00:00,28.989,86.15629,0.0,0.467,0.54,0
2016-07-08 13:00:00,29.289,80.52103,0.0,0.466,0.54,0
2016-07-08 14:00:00,28.989,81.93,0.0,0.466,0.54,0
2016-07-08 15:00:00,28.489,85.09438,0.0,0.466,0.54,0
2016-07-08 16:00:00,27.189,92.07638,0.0,0.465,0.54,0
2016-07-08 17:00:00,27.088999,92.07072,0.0,0.465,0.54,0
2016-07-08 18:00:00,26.689,92.87275,0.0,0.465,0.54,0
2016-07-08 19:00:00,25.989,93.39294,0.0,0.465,0.54,0
2016-07-08 20:00:00,25.789,92.272675,0.0,0.464,0.54,0
2016-07-08 21:00:00,25.739,91.44419,0.0,0.464,0.54,0
