Thời_gian,Nhiệt_độ_C,Độ_ẩm_%,Lượng_mưa_mm,Độ_ẩm_đất,Chiều_cao_triều_m,Nguy_cơ_ngập
2016-07-04 17:00:00,28.746,79.73436,0.0,0.18,0.52,0
2016-07-04 18:00:00,28.446,80.89348,0.0,0.18,0.52,0
2016-07-04 19:00:00,28.296,80.874374,0.0,0.18,0.52,0
2016-07-04 20:00:00,28.146,81.82778,0.0,0.18,0.52,0
2016-07-04 21:00:00,28.046,82.798904,0.0,0.18,0.52,0
2016-07-04 22:00:00,27.896,85.28747,0.0,0.18,0.52,0
2016-07-04 23:00:00,27.946,84.03173,0.0,0.18,0.52,0
2016-07-05 00:00:00,28.296,80.63305,0.1,0.18,0.52,0
2016-07-05 01:00:00,28.396,68.730125,0.2,0.183,0.52,0
2016-07-05 02:00:00,28.146,71.67273,0.4,0.185,0.52,0
2016-07-05 03:00:00,28.296,72.13548,0.5,0.198,0.52,0
2016-07-05 04:00:00,28.046,74.30992,0.8,0.203,0.52,0
2016-07-05 05:00:00,27.796,76.78124,1.4,0.21,0.52,0
2016-07-05 06:00:00,27.896,77.96209,1.3,0.219,0.52,0
2016-07-05 07:00:00,26.646,88.54471,8.4,0.269,0.52,0
2016-07-05 08:00:00,26.796,88.29256,7.0,0.312,0.52,0
2016-07-05 09:00:00,26.796,88.82155,7.1,0.307,0.52,0
2016-07-05 10:00:00,26.696,89.61295,9.3,0.391,0.52,0
2016-07-05 11:00:00,26.496,92.03713,10.5,0.408,0.52,0
2016-07-05 12:00:00,26.596,92.31717,10.1,0.427,0.52,0
2016-07-05 13:00:00,26.746,90.15272,7.5,0.418,0.52,0
2016-07-05 14:00:00,26.746,88.28845,5.2,0.397,0.52,0
2016-07-05 15:00:00,26.746,87.49989,3.5,0.414,0.52,0
2016-07-05 16:00:00,26.696,86.71287,2.3,0.41,0.52,0
2016-07-05 17:00:00,26.546,86.9595,1.5,0.376,0.52,0
2016-07-05 18:00:00,26.346,86.420456,0.7,0.381,0.52,0
2016-07-05 19:00:00,26.546,88.00818,1.8,0.388,0.52,0
2016-07-05 20:00:00,26.496,86.694435,3.2,0.391,0.52,0
2016-07-05 21:00:00,26.296,85.89746,6.1,0.4,0.52,0
2016-07-05 22:00:00,26.096,85.87792,8.0,0.387,0.52,0
2016-07-05 23:00:00,25.896,85.85841,7.3,0.38,0.52,0
2016-07-06 00:00:00,25.796,85.073784,6.0,0.407,0.52,0
2016-07-06 01:00:00,25.996,86.12749,6.0,0.422,0.52,0
2016-07-06 02:00:00,26.496,82.36861,4.5,0.397,0.52,0
2016-07-06 03:00:00,26.796,82.156334,2.3,0.398,0.52,0
2016-07-06 04:00:00,27.596,78.1541,0.8,0.393,0.52,0
2016-07-06 05:00:00,28.296,76.166016,0.3,0.387,0.52,0
2016-07-06 06:00:00,29.046,74.250206,0.2,0.381,0.52,0
2016-07-06 07:00:00,29.896,71.12337,0.7,0.375,0.52,0
2016-07-06 08:00:00,29.496,72.999374,6.7,0.375,0.52,0
2016-07-06 09:00:00,28.996,74.68929,1.5,0.373,0.52,0
2016-07-06 10:00:00,28.546,76.66365,0.0,0.372,0.52,0
2016-07-06 11:00:00,28.246,78.717995,0.3,0.371,0.52,0
2016-07-06 12:00:00,27.746,82.51681,0.0,0.369,0.52,0
2016-07-06 13:00:00,27.446,84.98778,0.0,0.368,0.52,0
2016-07-06 14:00:00,27.146,87.796104,0.0,0.368,0.52,0
2016-07-06 15:00:00,26.796,91.78091,0.0,0.367,0.52,0
2016-07-06 16:00:00,26.596,92.31717,0.0,0.366,0.52,0
2016-07-06 17:00:00,26.346,93.68831,0.0,0.366,0.52,0
2016-07-06 18:00:00,26.246,94.52395,0.0,0.365,0.52,0
2016-07-06 19:00:00,26.096,93.95655,0.0,0.364,0.52,0
2016-07-06 20:00:00,26.096,93.676926,0.0,0.363,0.52,0
2016-07-06 21:00:00,26.096,93.676926,0.0,0.362,0.52,0
2016-07-06 22:00:00,25.996,93.95217,0.0,0.361,0.52,0
2016-07-06 23:00:00,26.046,93.95439,0.0,0.361,0.52,0
2016-07-07 00:00:00,27.096,87.26935,0.0,0.36,0.52,0
2016-07-07 01:00:00,27.796,81.78505,0.0,0.358,0.52,0
