Thời_gian,Nhiệt_độ_C,Độ_ẩm_%,Lượng_mưa_mm,Độ_ẩm_đất,Chiều_cao_triều_m,Nguy_cơ_ngập
2016-07-04 17:00:00,27.171501,87.27603,0.0,0.435,0.54,0
2016-07-04 18:00:00,27.271502,83.958305,0.0,0.435,0.54,0
2016-07-04 19:00:00,27.2215,79.289215,0.0,0.435,0.54,0
2016-07-04 20:00:00,27.021502,79.501686,0.0,0.435,0.54,0
2016-07-04 21:00:00,27.271502,77.40184,0.0,0.435,0.54,0
2016-07-04 22:00:00,28.4715,66.883125,0.0,0.436,0.54,0
2016-07-04 23:00:00,26.8215,84.41488,0.0,0.437,0.54,0
2016-07-05 00:00:00,27.7215,80.800995,0.1,0.438,0.54,0
2016-07-05 01:00:00,27.8715,77.257164,0.2,0.439,0.54,0
2016-07-05 02:00:00,27.5715,81.02476,0.4,0.442,0.54,0
2016-07-05 03:00:00,27.8215,79.61009,0.5,0.448,0.54,0
2016-07-05 04:00:00,27.521502,82.24336,0.8,0.458,0.54,0
2016-07-05 05:00:00,26.921501,85.70108,1.4,0.478,0.54,0
2016-07-05 06:00:00,27.271502,84.96983,1.3,0.499,0.54,0
2016-07-05 07:00:00,26.6215,89.07373,8.4,0.52,0.54,0
2016-07-05 08:00:00,26.7215,86.71523,7.0,0.482,0.54,0
2016-07-05 09:00:00,26.521502,90.676834,7.1,0.52,0.54,0
2016-07-05 10:00:00,26.3715,90.93815,9.3,0.517,0.54,0
2016-07-05 11:00:00,26.0715,93.67579,10.5,0.516,0.54,0
2016-07-05 12:00:00,25.9715,92.28278,10.1,0.519,0.54,0
2016-07-05 13:00:00,25.9715,92.28278,7.5,0.502,0.54,0
2016-07-05 14:00:00,25.921501,91.72948,5.2,0.505,0.54,0
2016-07-05 15:00:00,25.8715,91.452286,3.5,0.48,0.54,0
2016-07-05 16:00:00,25.771502,91.172424,2.3,0.452,0.54,0
2016-07-05 17:00:00,25.6215,91.71177,1.5,0.455,0.54,0
2016-07-05 18:00:00,25.521502,91.70583,0.7,0.453,0.54,0
2016-07-05 19:00:00,25.671501,90.348656,1.8,0.477,0.54,0
2016-07-05 20:00:00,25.5715,89.800064,3.2,0.508,0.54,0
2016-07-05 21:00:00,25.4715,88.717094,6.1,0.496,0.54,0
2016-07-05 22:00:00,25.3215,88.70518,8.0,0.476,0.54,0
2016-07-05 23:00:00,25.171501,89.23076,7.3,0.513,0.54,0
2016-07-06 00:00:00,24.9715,91.67315,6.0,0.489,0.54,0
2016-07-06 01:00:00,25.521502,89.526535,6.0,0.46,0.54,0
2016-07-06 02:00:00,25.8215,88.21242,4.5,0.492,0.54,0
2016-07-06 03:00:00,26.1215,87.70864,2.3,0.515,0.54,0
2016-07-06 04:00:00,27.021502,84.68977,0.8,0.453,0.54,0
2016-07-06 05:00:00,27.5715,81.75758,0.3,0.449,0.54,0
2016-07-06 06:00:00,28.521502,78.05215,0.2,0.451,0.54,0
2016-07-06 07:00:00,29.421501,77.02494,0.7,0.455,0.54,0
2016-07-06 08:00:00,28.521502,81.144684,6.7,0.511,0.54,0
2016-07-06 09:00:00,28.3715,80.16221,1.5,0.451,0.54,0
2016-07-06 10:00:00,28.2215,81.34964,0.0,0.444,0.54,0
2016-07-06 11:00:00,27.771502,82.51979,0.3,0.45,0.54,0
2016-07-06 12:00:00,27.3215,85.22943,0.0,0.452,0.54,0
2016-07-06 13:00:00,27.021502,87.52381,0.0,0.454,0.54,0
2016-07-06 14:00:00,26.671501,90.686745,0.0,0.456,0.54,0
2016-07-06 15:00:00,26.4715,91.7619,0.0,0.458,0.54,0
2016-07-06 16:00:00,25.8715,94.22756,0.0,0.459,0.54,0
2016-07-06 17:00:00,25.4715,94.77625,0.0,0.46,0.54,0
2016-07-06 18:00:00,25.271502,95.3378,0.0,0.461,0.54,0
2016-07-06 19:00:00,25.021502,95.61553,0.0,0.462,0.54,0
2016-07-06 20:00:00,24.921501,95.612335,0.0,0.463,0.54,0
2016-07-06 21:00:00,24.9715,95.042046,0.0,0.463,0.54,0
2016-07-06 22:00:00,24.8215,95.322495,0.0,0.464,0.54,0
2016-07-06 23:00:00,24.8215,95.322495,0.0,0.464,0.54,0
2016-07-07 00:00:00,26.671501,87.4934,0.0,0.465,0.54,0
2016-07-07 01:00:00,27.6215,82.00921,0.0,0.465,0.54,0
2016-07-07 02:00:00,28.5715,79.23599,0.0,0.464,0.54,0
2016-07-07 03:00:00,29.171501,78.378494,0.0,0.463,0.54,0
2016-07-07 04:00:00,29.8215,78.00579,0.1,0.461,0.54,0
2016-07-07 05:00:00,30.1215,75.766754,1.2,0.466,0.54,0
2016-07-07 06:00:00,29.171501,79.08209,4.2,0.501,0.54,0
2016-07-07 07:00:00,28.9715,79.290634,2.3,0.505,0.54,0
2016-07-07 08:00:00,29.1215,79.31106,0.3,0.497,0.54,0
2016-07-07 09:00:00,28.4715,80.17536,5.2,0.517,0.54,0
2016-07-07 10:00:00,27.771502,83.51248,3.3,0.477,0.54,0
2016-07-07 11:00:00,26.9715,88.83529,2.1,0.432,0.54,0
2016-07-07 12:00:00,26.4715,90.673546,1.3,0.447,0.54,0
2016-07-07 13:00:00,26.2215,89.31023,0.2,0.448,0.54,0
2016-07-07 14:00:00,26.021502,90.64373,0.7,0.455,0.54,0
2016-07-07 15:00:00,25.8715,91.452286,0.2,0.457,0.54,0
2016-07-07 16:00:00,25.8715,91.726555,0.0,0.458,0.54,0
2016-07-07 17:00:00,25.8215,92.82826,0.0,0.458,0.54,0
2016-07-07 18:00:00,25.5715,93.933624,0.0,0.458,0.54,0
2016-07-07 19:00:00,25.7215,92.26897,0.0,0.458,0.54,0
2016-07-07 20:00:00,25.5715,93.09385,0.0,0.458,0.54,0
2016-07-07 21:00:00,25.3715,93.92486,0.0,0.458,0.54,0
2016-07-07 22:00:00,25.271502,93.920425,0.0,0.458,0.54,0
2016-07-07 23:00:00,25.271502,94.202446,0.0,0.458,0.54,0
2016-07-08 00:00:00,27.021502,87.52381,0.0,0.458,0.54,0
2016-07-08 01:00:00,28.3215,79.91622,0.0,0.458,0.54,0
2016-07-08 02:00:00,29.3715,75.19874,0.0,0.457,0.54,0
2016-07-08 03:00:00,30.171501,71.81478,0.0,0.456,0.54,0
2016-07-08 04:00:00,30.8715,71.0856,0.0,0.453,0.54,0
2016-07-08 05:00:00,31.4715,68.901886,0.0,0.45,0.54,0
2016-07-08 06:00:00,31.4715,70.771355,0.2,0.448,0.54,0
2016-07-08 07:00:00,30.171501,74.655876,2.6,0.467,0.54,0
2016-07-08 08:00:00,30.2215,74.220665,0.7,0.471,0.54,0
2016-07-08 09:00:00,30.4715,74.70418,0.0,0.47,0.54,0
2016-07-08 10:00:00,30.2215,76.23369,0.0,0.468,0.54,0
2016-07-08 11:00:00,29.8715,79.41277,0.0,0.467,0.54,0
2016-07-08 12:00:00,29.021502,86.15937,0.0,0.467,0.54,0
2016-07-08 13:00:00,29.3215,80.52523,0.0,0.466,0.54,0
2016-07-08 14:00:00,29.021502,81.93393,0.0,0.466,0.54,0
2016-07-08 15:00:00,28.521502,85.097694,0.0,0.466,0.54,0
2016-07-08 16:00:00,27.2215,92.07823,0.0,0.465,0.54,0
2016-07-08 17:00:00,27.1215,92.072556,0.0,0.465,0.54,0
2016-07-08 18:00:00,26.7215,92.87441,0.0,0.465,0.54,0
2016-07-08 19:00:00,26.021502,93.39447,0.0,0.465,0.54,0
2016-07-08 20:00:00,25.8215,92.27446,0.0,0.464,0.54,0
2016-07-08 21:00:00,25.771502,91.44618,0.0,0.464,0.54,0
2016-07-08 22:00:00,25.6215,91.71177,0.0,0.464,0.54,0
2016-07-08 23:00:00,25.771502,91.99582,0.0,0.463,0.54,0
2016-07-09 00:00:00,27.671501,84.50509,0.0,0.463,0.54,0
2016-07-09 01:00:00,29.021502,76.96532,0.0,0.462,0.54,0
2016-07-09 02:00:00,30.1215,71.591385,0.0,0.46,0.54,0
2016-07-09 03:00:00,31.3215,67.046074,0.0,0.457,0.54,0
2016-07-09 04:00:00,32.1215,63.30772,0.0,0.453,0.54,0
2016-07-09 05:00:00,32.6215,60.81109,0.0,0.449,0.54,0
2016-07-09 06:00:00,32.7715,60.29934,0.0,0.445,0.54,0
2016-07-09 07:00:00,33.3715,57.777424,0.0,0.441,0.54,0
2016-07-09 08:00:00,33.1215,58.770004,0.0,0.437,0.54,0
2016-07-09 09:00:00,32.7215,60.833378,0.0,0.434,0.54,0
2016-07-09 10:00:00,32.1215,65.23037,0.0,0.433,0.54,0
2016-07-09 11:00:00,31.021502,76.58102,0.0,0.432,0.54,0
2016-07-09 12:00:00,30.8215,71.928795,0.0,0.432,0.54,0
2016-07-09 13:00:00,30.4715,72.297676,0.0,0.432,0.54,0
2016-07-09 14:00:00,29.771502,75.26212,0.0,0.433,0.54,0
2016-07-09 15:00:00,29.5715,76.13412,0.0,0.434,0.54,0
2016-07-09 16:00:00,29.3715,77.478195,0.0,0.434,0.54,0
2016-07-09 17:00:00,29.021502,79.297424,0.0,0.434,0.54,0
2016-07-09 18:00:00,28.671501,80.68133,0.0,0.434,0.54,0
2016-07-09 19:00:00,27.771502,81.78205,0.0,0.434,0.54,0
2016-07-09 20:00:00,27.2215,82.70289,0.0,0.434,0.54,0
2016-07-09 21:00:00,27.3215,80.749626,0.0,0.434,0.54,0
2016-07-09 22:00:00,27.421501,79.556,0.0,0.434,0.54,0
2016-07-09 23:00:00,27.8715,77.95856,0.0,0.434,0.54,0
2016-07-10 00:00:00,28.7215,74.64488,0.0,0.434,0.54,0
2016-07-10 01:00:00,29.5715,72.35804,0.0,0.433,0.54,0
2016-07-10 02:00:00,30.271502,69.92225,0.0,0.431,0.54,0
2016-07-10 03:00:00,31.2215,65.83122,0.0,0.429,0.54,0
2016-07-10 04:00:00,32.0215,62.719097,0.0,0.425,0.54,0
2016-07-10 05:00:00,32.7715,59.938255,0.0,0.422,0.54,0
2016-07-10 06:00:00,33.171497,58.605217,0.0,0.419,0.54,0
2016-07-10 07:00:00,33.5215,57.8124,0.0,0.416,0.54,0
2016-07-10 08:00:00,33.5215,57.8124,0.0,0.413,0.54,0
2016-07-10 09:00:00,33.1215,60.017315,0.0,0.41,0.54,0
2016-07-10 10:00:00,32.4715,65.496895,0.0,0.409,0.54,0
2016-07-10 11:00:00,31.271502,75.94442,0.0,0.409,0.54,0
2016-07-10 12:00:00,31.171501,68.23069,0.0,0.409,0.54,0
2016-07-10 13:00:00,30.1215,72.88759,0.0,0.409,0.54,0
2016-07-10 14:00:00,29.4715,72.12366,0.0,0.411,0.54,0
2016-07-10 15:00:00,28.271502,82.57857,0.0,0.412,0.54,0
2016-07-10 16:00:00,28.2215,80.62346,0.0,0.412,0.54,0
2016-07-10 17:00:00,28.7215,76.46055,0.0,0.412,0.54,0
2016-07-10 18:00:00,28.3715,77.563705,0.0,0.412,0.54,0
2016-07-10 19:00:00,27.8715,79.61687,0.0,0.413,0.54,0
2016-07-10 20:00:00,28.4715,75.28162,0.0,0.413,0.54,0
2016-07-10 21:00:00,28.8215,72.22747,0.0,0.413,0.54,0
2016-07-10 22:00:00,27.7215,78.88154,0.0,0.413,0.54,0
2016-07-10 23:00:00,27.1215,84.19402,0.0,0.413,0.54,0
2016-07-11 00:00:00,29.271502,72.96112,0.0,0.413,0.54,0
2016-07-11 01:00:00,29.921501,68.60668,0.0,0.413,0.54,0
2016-07-11 02:00:00,30.771502,65.54176,0.0,0.411,0.54,0
2016-07-11 03:00:00,31.421501,63.73104,0.0,0.409,0.54,0
2016-07-11 04:00:00,32.3215,60.9271,0.0,0.406,0.54,0
2016-07-11 05:00:00,32.9715,58.73548,0.0,0.402,0.54,0
2016-07-11 06:00:00,33.2715,57.927994,0.0,0.399,0.54,0
2016-07-11 07:00:00,33.9715,57.227673,0.0,0.396,0.54,0
2016-07-11 08:00:00,32.0715,66.003494,1.3,0.408,0.54,0
2016-07-11 09:00:00,31.8215,67.14482,0.0,0.408,0.54,0
2016-07-11 10:00:00,31.3215,71.166,0.0,0.407,0.54,0
2016-07-11 11:00:00,30.4715,77.18048,0.0,0.406,0.54,0
2016-07-11 12:00:00,29.5715,85.45477,0.0,0.406,0.54,0
2016-07-11 13:00:00,29.2215,86.43238,0.0,0.406,0.54,0
2016-07-11 14:00:00,29.021502,86.41377,0.0,0.407,0.54,0
2016-07-11 15:00:00,28.8715,86.14515,0.0,0.407,0.54,0
2016-07-11 16:00:00,28.171501,88.66607,0.0,0.407,0.54,0
2016-07-11 17:00:00,28.2215,86.59527,0.0,0.407,0.54,0
2016-07-11 18:00:00,28.271502,84.81994,0.0,0.407,0.54,0
2016-07-11 19:00:00,28.8715,79.276985,0.0,0.407,0.54,0
2016-07-11 20:00:00,28.521502,81.38698,0.0,0.408,0.54,0
2016-07-11 21:00:00,28.271502,83.072105,0.0,0.408,0.54,0
2016-07-11 22:00:00,28.3215,83.32547,0.0,0.408,0.54,0
2016-07-11 23:00:00,28.3715,84.57881,0.0,0.408,0.54,0
2016-07-12 00:00:00,29.1215,80.49943,0.0,0.408,0.54,0
2016-07-12 01:00:00,29.921501,73.29052,0.0,0.407,0.54,0
2016-07-12 02:00:00,30.771502,69.38938,0.0,0.406,0.54,0
2016-07-12 03:00:00,31.671501,65.3332,0.0,0.404,0.54,0
2016-07-12 04:00:00,32.0715,63.297016,0.0,0.401,0.54,0
2016-07-12 05:00:00,32.3215,62.595917,0.0,0.399,0.54,0
2016-07-12 06:00:00,32.421497,62.61754,0.0,0.396,0.54,0
2016-07-12 07:00:00,32.8215,61.038284,0.0,0.396,0.54,0
2016-07-12 08:00:00,32.671497,61.37193,0.0,0.395,0.54,0
2016-07-12 09:00:00,31.8715,64.210335,0.0,0.394,0.54,0
2016-07-12 10:00:00,31.3715,67.056,0.0,0.393,0.54,0
2016-07-12 11:00:00,30.3215,77.61657,0.0,0.393,0.54,0
2016-07-12 12:00:00,29.3715,84.18532,0.0,0.393,0.54,0
2016-07-12 13:00:00,28.8215,85.38022,0.0,0.393,0.54,0
2016-07-12 14:00:00,28.6215,85.10785,0.0,0.393,0.54,0
2016-07-12 15:00:00,29.171501,80.26703,0.0,0.393,0.54,0
2016-07-12 16:00:00,28.521502,84.09398,0.0,0.394,0.54,0
2016-07-12 17:00:00,27.671501,88.88983,0.0,0.394,0.54,0
2016-07-12 18:00:00,27.0715,91.79698,0.0,0.394,0.54,0
2016-07-12 19:00:00,27.8215,84.0182,0.0,0.394,0.54,0
2016-07-12 20:00:00,27.171501,87.79824,0.2,0.395,0.54,0
2016-07-12 21:00:00,26.921501,89.09668,0.0,0.396,0.54,0
2016-07-12 22:00:00,27.171501,86.756546,0.1,0.397,0.54,0
2016-07-12 23:00:00,26.7215,90.96061,0.1,0.398,0.54,0
2016-07-13 00:00:00,27.6215,85.0058,0.2,0.399,0.54,0
2016-07-13 01:00:00,28.021502,83.29164,0.1,0.4,0.54,0
2016-07-13 02:00:00,28.521502,81.144684,0.3,0.401,0.54,0
2016-07-13 03:00:00,29.521502,76.81059,0.1,0.401,0.54,0
2016-07-13 04:00:00,30.021502,75.52611,0.0,0.401,0.54,0
2016-07-13 05:00:00,30.771502,73.43322,0.2,0.4,0.54,0
2016-07-13 06:00:00,31.271502,72.86647,1.7,0.411,0.54,0
2016-07-13 07:00:00,31.5715,70.99968,0.4,0.413,0.54,0
2016-07-13 08:00:00,31.2215,72.858,3.3,0.441,0.54,0
2016-07-13 09:00:00,30.7215,74.52301,3.4,0.472,0.54,0
2016-07-13 10:00:00,30.4715,76.046135,0.8,0.48,0.54,0
2016-07-13 11:00:00,30.021502,79.90405,0.0,0.477,0.54,0
2016-07-13 12:00:00,29.171501,87.70827,0.1,0.475,0.54,0
2016-07-13 13:00:00,28.5715,91.078,0.0,0.473,0.54,0
