Thời_gian,Nhiệt_độ_C,Độ_ẩm_%,Lượng_mưa_mm,Độ_ẩm_đất,Chiều_cao_triều_m,Nguy_cơ_ngập
2016-07-04 17:00:00,27.7325,84.511536,0.0,0.356,0.52,0
2016-07-04 18:00:00,27.6325,83.99765,0.0,0.356,0.52,0
2016-07-04 19:00:00,27.4825,81.50164,0.0,0.356,0.52,0
2016-07-04 20:00:00,27.2325,83.70276,0.0,0.356,0.52,0
2016-07-04 21:00:00,27.5325,80.77674,0.0,0.357,0.52,0
2016-07-04 22:00:00,27.682499,79.59133,0.0,0.357,0.52,0
2016-07-04 23:00:00,27.182499,85.21537,0.0,0.357,0.52,0
2016-07-05 00:00:00,27.832499,81.05783,0.1,0.358,0.52,0
2016-07-05 01:00:00,27.932499,73.842606,0.2,0.359,0.52,0
2016-07-05 02:00:00,27.6325,77.45514,0.4,0.362,0.52,0
2016-07-05 03:00:00,27.832499,76.78675,0.5,0.371,0.52,0
2016-07-05 04:00:00,27.582499,78.862175,0.8,0.379,0.52,0
2016-07-05 05:00:00,27.082499,82.6866,1.4,0.392,0.52,0
2016-07-05 06:00:00,27.2825,83.20781,1.3,0.409,0.52,0
2016-07-05 07:00:00,26.5325,88.80089,8.4,0.469,0.52,0
2016-07-05 08:00:00,26.6325,87.75235,7.0,0.459,0.52,0
2016-07-05 09:00:00,26.5325,89.869064,7.1,0.463,0.52,0
2016-07-05 10:00:00,26.432499,90.40058,9.3,0.486,0.52,0
2016-07-05 11:00:00,26.182499,92.84682,10.5,0.476,0.52,0
2016-07-05 12:00:00,26.182499,92.29442,10.1,0.49,0.52,0
2016-07-05 13:00:00,26.2825,90.932396,7.5,0.483,0.52,0
2016-07-05 14:00:00,26.2325,89.84758,5.2,0.458,0.52,0
2016-07-05 15:00:00,26.182499,89.30728,3.5,0.448,0.52,0
2016-07-05 16:00:00,26.1325,88.7694,2.3,0.463,0.52,0
2016-07-05 17:00:00,25.9825,89.2922,1.5,0.449,0.52,0
2016-07-05 18:00:00,25.8825,89.01679,0.7,0.458,0.52,0
2016-07-05 19:00:00,25.9825,89.2922,1.8,0.473,0.52,0
2016-07-05 20:00:00,25.932499,88.2216,3.2,0.48,0.52,0
2016-07-05 21:00:00,25.7825,87.41566,6.1,0.468,0.52,0
2016-07-05 22:00:00,25.582499,87.39807,8.0,0.447,0.52,0
2016-07-05 23:00:00,25.432499,87.64929,7.3,0.467,0.52,0
2016-07-06 00:00:00,25.4825,86.862686,6.0,0.467,0.52,0
2016-07-06 01:00:00,25.6325,87.93133,6.0,0.459,0.52,0
2016-07-06 02:00:00,26.0325,85.35526,4.5,0.465,0.52,0
2016-07-06 03:00:00,26.332499,85.12879,2.3,0.477,0.52,0
2016-07-06 04:00:00,27.182499,81.95599,0.8,0.441,0.52,0
2016-07-06 05:00:00,27.7825,79.127655,0.3,0.411,0.52,0
2016-07-06 06:00:00,28.6325,76.21781,0.2,0.411,0.52,0
2016-07-06 07:00:00,29.5325,74.10765,0.7,0.411,0.52,0
2016-07-06 08:00:00,28.932499,76.035675,6.7,0.439,0.52,0
2016-07-06 09:00:00,28.6325,77.13809,1.5,0.444,0.52,0
2016-07-06 10:00:00,28.2825,78.95945,0.0,0.443,0.52,0
2016-07-06 11:00:00,27.8825,80.33839,0.3,0.442,0.52,0
2016-07-06 12:00:00,27.432499,83.72489,0.0,0.441,0.52,0
2016-07-06 13:00:00,27.1325,85.97859,0.0,0.44,0.52,0
2016-07-06 14:00:00,26.7825,89.086044,0.0,0.44,0.52,0
2016-07-06 15:00:00,26.4825,92.03636,0.0,0.439,0.52,0
2016-07-06 16:00:00,26.082499,93.39738,0.0,0.439,0.52,0
2016-07-06 17:00:00,25.7325,94.221756,0.0,0.438,0.52,0
2016-07-06 18:00:00,25.6325,94.78233,0.0,0.437,0.52,0
2016-07-06 19:00:00,25.3825,95.34158,0.0,0.437,0.52,0
2016-07-06 20:00:00,25.332499,95.05506,0.0,0.437,0.52,0
2016-07-06 21:00:00,25.3825,94.772865,0.0,0.436,0.52,0
2016-07-06 22:00:00,25.2825,94.76906,0.0,0.436,0.52,0
2016-07-06 23:00:00,25.2825,95.05324,0.0,0.435,0.52,0
2016-07-07 00:00:00,26.832499,86.98541,0.0,0.435,0.52,0
2016-07-07 01:00:00,27.582499,82.0045,0.0,0.434,0.52,0
